KABKOT,TPT,HLS,RLS,PPK,AHH,Cluster
KABUPATEN BOGOR,"9,11","12,47","8,29",10683,"71,17",1
KABUPATEN SUKABUMI,"8,05","12,22","7,02",8973,"70,97",1
KABUPATEN CIANJUR,"9,81","11,98","6,97",8290,"70,13",1
KABUPATEN BANDUNG,"5,51","12,68","8,79",10502,"73,53",1
KABUPATEN GARUT,"7,35","11,82","7,51",8099,"71,41",1
KABUPATEN TASIKMALAYA,"6,31","12,52","7,17",8092,"69,47",1
KABUPATEN CIAMIS,"5,16","13,79","7,69",9557,"71,83",1
KABUPATEN KUNINGAN,"9,68","12,1","7,38",9673,"73,59",1
KABUPATEN CIREBON,"10,35","12,24","6,71",10670,"71,99",1
KABUPATEN MAJALENGKA,"4,37","12,21","7,09",9822,"70,27",1
KABUPATEN SUMEDANG,"7,7","12,96","8,27",10406,"72,43",1
KABUPATEN INDRAMAYU,"8,35","12,24","5,99",10090,"71,63",1
KABUPATEN SUBANG,"8,68","11,69","6,85",11012,"72,35",1
KABUPATEN PURWAKARTA,"9,73","12,1","7,92",11819,"70,99",1
KABUPATEN KARAWANG,"9,68","12,08","7,65",11856,"72,15",1
KABUPATEN BEKASI,9,"13,08","8,84",11610,"73,68",2
KABUPATEN BANDUNG BARAT,"8,24","11,86","8,18",8684,"72,34",1
KABUPATEN PANGANDARAN,"4,52","12,06","7,67",9423,"71,4",1
KOTA BOGOR,"9,16","13,4","10,32",11825,"73,61",2
KOTA SUKABUMI,"8,49","13,46","9,58",11204,"72,42",2
KOTA BANDUNG,"8,18","14,19","10,74",17254,"74,28",2
KOTA CIREBON,"9,04","13,11","9,9",11930,"72,26",2
KOTA BEKASI,"8,3","13,99","11,1",16157,"75,01",2
KOTA DEPOK,"6,12","13,91",11,15696,"74,44",2
KOTA CIMAHI,"8,09","13,79","10,95",12448,"74,03",2
KOTA TASIKMALAYA,"6,78","13,44","9,13",10414,"72,15",2
KOTA BANJAR,"6,16","13,22","8,62",10705,"70,99",1