KABKOT,Cluster_2019,Cluster_2020
KABUPATEN BOGOR,2,2
KABUPATEN SUKABUMI,2,2
KABUPATEN CIANJUR,2,2
KABUPATEN BANDUNG,2,2
KABUPATEN GARUT,2,2
KABUPATEN TASIKMALAYA,2,2
KABUPATEN CIAMIS,2,2
KABUPATEN KUNINGAN,2,2
KABUPATEN CIREBON,2,2
KABUPATEN MAJALENGKA,2,2
KABUPATEN SUMEDANG,2,2
KABUPATEN INDRAMAYU,2,2
KABUPATEN SUBANG,2,2
KABUPATEN PURWAKARTA,2,2
KABUPATEN KARAWANG,2,2
KABUPATEN BEKASI,1,1
KABUPATEN BANDUNG BARAT,2,2
KABUPATEN PANGANDARAN,2,2
KOTA BOGOR,1,1
KOTA SUKABUMI,1,2
KOTA BANDUNG,1,1
KOTA CIREBON,1,1
KOTA BEKASI,1,1
KOTA DEPOK,1,1
KOTA CIMAHI,1,1
KOTA TASIKMALAYA,1,2
KOTA BANJAR,2,2