ID,Kode_Provinsi,Nama_Provinsi,Kode_Kabupaten_Kota,Kabupaten_Kota,Jumlah_Penduduk_Miskin,Satuan,Tahun
433,32,JAWA BARAT,3201,KABUPATEN BOGOR,415,RIBU JIWA,2018
434,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,166.3,RIBU JIWA,2018
435,32,JAWA BARAT,3203,KABUPATEN CIANJUR,221.6,RIBU JIWA,2018
436,32,JAWA BARAT,3204,KABUPATEN BANDUNG,246.1,RIBU JIWA,2018
437,32,JAWA BARAT,3205,KABUPATEN GARUT,241.3,RIBU JIWA,2018
438,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,172.4,RIBU JIWA,2018
439,32,JAWA BARAT,3207,KABUPATEN CIAMIS,85.7,RIBU JIWA,2018
440,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,131.2,RIBU JIWA,2018
441,32,JAWA BARAT,3209,KABUPATEN CIREBON,232.4,RIBU JIWA,2018
442,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,129.3,RIBU JIWA,2018
443,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,112.1,RIBU JIWA,2018
444,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,204.2,RIBU JIWA,2018
445,32,JAWA BARAT,3213,KABUPATEN SUBANG,136.6,RIBU JIWA,2018
446,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,75.9,RIBU JIWA,2018
447,32,JAWA BARAT,3215,KABUPATEN KARAWANG,188,RIBU JIWA,2018
448,32,JAWA BARAT,3216,KABUPATEN BEKASI,157.2,RIBU JIWA,2018
449,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,169,RIBU JIWA,2018
450,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,32.2,RIBU JIWA,2018
451,32,JAWA BARAT,3271,KOTA BOGOR,64.9,RIBU JIWA,2018
452,32,JAWA BARAT,3272,KOTA SUKABUMI,23.2,RIBU JIWA,2018
453,32,JAWA BARAT,3273,KOTA BANDUNG,89.4,RIBU JIWA,2018
454,32,JAWA BARAT,3274,KOTA CIREBON,28,RIBU JIWA,2018
455,32,JAWA BARAT,3275,KOTA BEKASI,119.8,RIBU JIWA,2018
456,32,JAWA BARAT,3276,KOTA DEPOK,49.4,RIBU JIWA,2018
457,32,JAWA BARAT,3277,KOTA CIMAHI,29.9,RIBU JIWA,2018
458,32,JAWA BARAT,3278,KOTA TASIKMALAYA,84.2,RIBU JIWA,2018
459,32,JAWA BARAT,3279,KOTA BANJAR,10.4,RIBU JIWA,2018
460,32,JAWA BARAT,3201,KABUPATEN BOGOR,395.03,RIBU JIWA,2019
461,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,153.3,RIBU JIWA,2019
462,32,JAWA BARAT,3203,KABUPATEN CIANJUR,207.07,RIBU JIWA,2019
463,32,JAWA BARAT,3204,KABUPATEN BANDUNG,223.21,RIBU JIWA,2019
464,32,JAWA BARAT,3205,KABUPATEN GARUT,235.19,RIBU JIWA,2019
465,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,159.93,RIBU JIWA,2019
466,32,JAWA BARAT,3207,KABUPATEN CIAMIS,79.41,RIBU JIWA,2019
467,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,123.16,RIBU JIWA,2019
468,32,JAWA BARAT,3209,KABUPATEN CIREBON,217.64,RIBU JIWA,2019
469,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,121.06,RIBU JIWA,2019
470,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,104.18,RIBU JIWA,2019
471,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,191.86,RIBU JIWA,2019
472,32,JAWA BARAT,3213,KABUPATEN SUBANG,129.18,RIBU JIWA,2019
473,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,71.86,RIBU JIWA,2019
474,32,JAWA BARAT,3215,KABUPATEN KARAWANG,173.66,RIBU JIWA,2019
475,32,JAWA BARAT,3216,KABUPATEN BEKASI,149.43,RIBU JIWA,2019
476,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,159.03,RIBU JIWA,2019
477,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,30.73,RIBU JIWA,2019
478,32,JAWA BARAT,3271,KOTA BOGOR,63.97,RIBU JIWA,2019
479,32,JAWA BARAT,3272,KOTA SUKABUMI,21.87,RIBU JIWA,2019
480,32,JAWA BARAT,3273,KOTA BANDUNG,84.67,RIBU JIWA,2019
481,32,JAWA BARAT,3274,KOTA CIREBON,26.8,RIBU JIWA,2019
482,32,JAWA BARAT,3275,KOTA BEKASI,113.65,RIBU JIWA,2019
483,32,JAWA BARAT,3276,KOTA DEPOK,49.35,RIBU JIWA,2019
484,32,JAWA BARAT,3277,KOTA CIMAHI,26.91,RIBU JIWA,2019
485,32,JAWA BARAT,3278,KOTA TASIKMALAYA,76.98,RIBU JIWA,2019
486,32,JAWA BARAT,3279,KOTA BANJAR,10.07,RIBU JIWA,2019
487,32,JAWA BARAT,3201,KABUPATEN BOGOR,465.67,RIBU JIWA,2020
488,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,175.1,RIBU JIWA,2020
489,32,JAWA BARAT,3203,KABUPATEN CIANJUR,234.47,RIBU JIWA,2020
490,32,JAWA BARAT,3204,KABUPATEN BANDUNG,263.6,RIBU JIWA,2020
491,32,JAWA BARAT,3205,KABUPATEN GARUT,262.78,RIBU JIWA,2020
492,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,181.52,RIBU JIWA,2020
493,32,JAWA BARAT,3207,KABUPATEN CIAMIS,91.39,RIBU JIWA,2020
494,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,139.2,RIBU JIWA,2020
495,32,JAWA BARAT,3209,KABUPATEN CIREBON,247.94,RIBU JIWA,2020
496,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,138.21,RIBU JIWA,2020
497,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,118.38,RIBU JIWA,2020
498,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,220.31,RIBU JIWA,2020
499,32,JAWA BARAT,3213,KABUPATEN SUBANG,149.81,RIBU JIWA,2020
500,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,80.17,RIBU JIWA,2020
501,32,JAWA BARAT,3215,KABUPATEN KARAWANG,195.41,RIBU JIWA,2020
502,32,JAWA BARAT,3216,KABUPATEN BEKASI,186.3,RIBU JIWA,2020
503,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,179.46,RIBU JIWA,2020
504,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,36.05,RIBU JIWA,2020
505,32,JAWA BARAT,3271,KOTA BOGOR,75.04,RIBU JIWA,2020
506,32,JAWA BARAT,3272,KOTA SUKABUMI,25.42,RIBU JIWA,2020
507,32,JAWA BARAT,3273,KOTA BANDUNG,100.02,RIBU JIWA,2020
508,32,JAWA BARAT,3274,KOTA CIREBON,30.61,RIBU JIWA,2020
509,32,JAWA BARAT,3275,KOTA BEKASI,134.01,RIBU JIWA,2020
510,32,JAWA BARAT,3276,KOTA DEPOK,60.43,RIBU JIWA,2020
511,32,JAWA BARAT,3277,KOTA CIMAHI,31.64,RIBU JIWA,2020
512,32,JAWA BARAT,3278,KOTA TASIKMALAYA,86.13,RIBU JIWA,2020
513,32,JAWA BARAT,3279,KOTA BANJAR,11.16,RIBU JIWA,2020
